portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,207286,ANKR-EUR,BUY,2021-04-06T01:19:52.602Z,14,ANKR,0.13,0.0091,-1.8291,EUR
default,219693,ANKR-EUR,BUY,2021-04-07T04:15:59.151Z,40,ANKR,0.12,0.024,-4.824,EUR
default,223283,ANKR-EUR,BUY,2021-04-07T08:15:15.391Z,60,ANKR,0.11,0.033,-6.633,EUR
default,266880,ANKR-EUR,BUY,2021-04-11T06:28:45.023Z,794,ANKR,0.12,0.4764,-95.7564,EUR
default,272911,ANKR-EUR,SELL,2021-04-12T06:13:27.143Z,800,ANKR,0.13,0.52,103.48,EUR
default,282421,ANKR-EUR,BUY,2021-04-13T06:37:21.752Z,450,ANKR,0.13,0.2925,-58.7925,EUR
default,301932,ANKR-EUR,SELL,2021-04-15T17:01:00.250Z,400,ANKR,0.137,0.274,54.526,EUR
default,327606,ANKR-EUR,SELL,2021-04-16T18:17:21.433Z,158,ANKR,0.16277,0.1285883,25.5890717,EUR
default,330777,ANKR-EUR,BUY,2021-04-16T19:41:49.411Z,400,ANKR,0.17,0.34,-68.34,EUR
default,335045,ANKR-EUR,BUY,2021-04-17T00:17:31.615Z,250,ANKR,0.151,0.18875,-37.93875,EUR
default,335131,ANKR-EUR,BUY,2021-04-17T00:24:39.741Z,300,ANKR,0.15,0.225,-45.225,EUR
default,357888,ANKR-EUR,BUY,2021-04-18T09:50:51.946Z,480,ANKR,0.13,0.312,-62.712,EUR
default,397615,ANKR-EUR,BUY,2021-04-22T21:04:38.712Z,600,ANKR,0.113,0.339,-68.139,EUR
default,438128,ANKR-EUR,SELL,2021-04-26T18:27:18.019Z,600,ANKR,0.12,0.36,71.64,EUR
default,479003,ANKR-BTC,SELL,2021-04-27T03:57:03.470Z,300,ANKR,0.00000275,0.000004125,0.000820875,BTC
default,526390,NU-EUR,SELL,2021-02-05T08:47:52.517Z,14.003423,NU,0.4,0.028006846,5.573362354,EUR
default,567510,ANKR-EUR,BUY,2021-05-10T20:17:16.493Z,340,ANKR,0.115,0.1955,-39.2955,EUR
default,568804,ANKR-EUR,SELL,2021-05-10T21:08:13.557Z,340,ANKR,0.12,0.204,40.596,EUR
default,673175,CGLD-EUR,SELL,2021-03-19T09:21:34.781Z,2.02,CGLD,3.5,0.03535,7.03465,EUR
default,713396,ADA-EUR,BUY,2021-04-22T21:08:56.019Z,22,ADA,0.94,0.1034,-20.7834,EUR
default,752743,NMR-EUR,SELL,2021-03-30T11:22:18.146Z,0.077,NMR,45.6763,0.017585376,3.499489725,EUR
default,753182,CGLD-EUR,BUY,2021-04-14T07:40:51.471Z,1.3,CGLD,3.7,0.02405,-4.83405,EUR
default,753184,CGLD-EUR,BUY,2021-04-14T07:40:58.698Z,1.13,CGLD,3.7,0.020905,-4.201905,EUR
default,753185,CGLD-EUR,BUY,2021-04-14T07:41:38.633Z,7.57,CGLD,3.7,0.140045,-28.149045,EUR
default,865794,ADA-EUR,SELL,2021-04-29T07:12:19.308Z,22,ADA,1.15,0.1265,25.1735,EUR
default,957769,ADA-EUR,BUY,2021-05-04T15:16:58.855Z,20,ADA,1.06,0.106,-21.306,EUR
default,980861,ADA-EUR,SELL,2021-05-05T14:40:30.242Z,20,ADA,1.16,0.116,23.084,EUR
default,1067110,MKR-BTC,SELL,2021-02-21T11:20:28.038Z,0.0042,MKR,0.04722,9.92E-07,0.000197332,BTC
default,1091964,BAND-EUR,SELL,2021-02-11T12:16:30.758Z,0.33,BAND,12,0.0198,3.9402,EUR
default,1160947,NU-EUR,BUY,2021-04-14T05:54:32.311Z,60,NU,0.47,0.141,-28.341,EUR
default,1212823,NU-EUR,BUY,2021-04-20T15:50:55.427Z,60,NU,0.36,0.108,-21.708,EUR
default,1252754,ALGO-EUR,BUY,2021-04-21T11:48:54.327Z,50,ALGO,1,0.25,-50.25,EUR
default,1312910,ALGO-EUR,SELL,2021-04-27T22:41:35.400Z,25,ALGO,1.1,0.1375,27.3625,EUR
default,1322072,NU-EUR,SELL,2021-05-02T18:28:14.890Z,60,NU,0.44,0.132,26.268,EUR
default,1325656,ALGO-EUR,BUY,2021-04-29T18:00:13.670Z,25,ALGO,1.05,0.13125,-26.38125,EUR
default,1329426,ALGO-EUR,SELL,2021-04-30T06:50:53.932Z,25,ALGO,1.15,0.14375,28.60625,EUR
default,1348040,ALGO-EUR,SELL,2021-05-03T08:22:22.776Z,25,ALGO,1.2,0.15,29.85,EUR
default,1362233,ALGO-EUR,BUY,2021-05-05T00:00:26.072Z,25,ALGO,1.06,0.1325,-26.6325,EUR
default,1367167,ALGO-EUR,SELL,2021-05-05T16:26:10.471Z,25,ALGO,1.2,0.15,29.85,EUR
default,1377139,COMP-BTC,SELL,2021-02-18T06:04:30.082Z,0.007,COMP,0.008987,3.15E-07,6.26E-05,BTC
default,1377140,COMP-BTC,SELL,2021-02-18T06:04:30.082Z,0.037,COMP,0.008972,1.66E-06,0.000330304,BTC
default,1407350,GRT-EUR,BUY,2021-02-16T18:01:36.340Z,11,GRT,1.69,0.09295,-18.68295,EUR
default,1407351,GRT-EUR,BUY,2021-02-16T18:01:36.978Z,0.92,GRT,1.69,0.007774,-1.562574,EUR
default,1422979,GRT-EUR,SELL,2021-02-17T18:45:15.984Z,17.37,GRT,1.8,0.15633,31.10967,EUR
default,1455133,GRT-EUR,BUY,2021-02-19T14:56:53.290Z,17.2,GRT,1.8,0.1548,-31.1148,EUR
default,1477985,GRT-EUR,SELL,2021-02-20T14:44:24.402Z,17.2,GRT,2.162,0.185932,37.000468,EUR
default,1489492,GRT-EUR,BUY,2021-02-20T22:34:02.574Z,19.48,GRT,1.89,0.184086,-37.001286,EUR
default,1533779,GRT-EUR,BUY,2021-02-22T17:57:51.738Z,22,GRT,1.55,0.1705,-34.2705,EUR
default,1534483,GRT-EUR,BUY,2021-02-22T18:06:33.230Z,22.88,GRT,1.5,0.1716,-34.4916,EUR
default,1538253,GRT-EUR,SELL,2021-02-22T19:47:49.378Z,22,GRT,1.63,0.1793,35.6807,EUR
default,1538597,GRT-EUR,SELL,2021-02-22T20:01:35.486Z,22.88,GRT,1.69,0.193336,38.473864,EUR
default,1550023,GRT-EUR,BUY,2021-02-23T04:46:57.498Z,75,GRT,1.41,0.52875,-106.27875,EUR
default,1564057,GRT-EUR,BUY,2021-02-23T08:46:11.780Z,28.16,GRT,1.3047,0.18370176,-36.92405376,EUR
default,1582344,GRT-EUR,BUY,2021-02-23T12:49:19.709Z,20.7,GRT,1.3532,0.1400562,-28.1512962,EUR
default,1582726,GRT-EUR,SELL,2021-02-23T12:54:02.801Z,20.7,GRT,1.3884,0.1436994,28.5961806,EUR
default,1586419,GRT-EUR,SELL,2021-02-23T14:08:55.600Z,28,GRT,1.42,0.1988,39.5612,EUR
default,1586420,GRT-EUR,SELL,2021-02-23T14:08:57.859Z,0.16,GRT,1.42,0.001136,0.226064,EUR
